target,num_true_molecules,num_true_scaffolds_bm,num_true_scaffolds_generic,num_generated_molecules,num_unique_generated,exact_recovery_count,exact_recovery_ratio,bm_scaffold_recovery_count,bm_scaffold_recovery_ratio,bm_unique_scaffolds_recovered,generic_scaffold_recovery_count,generic_scaffold_recovery_ratio,generic_unique_scaffolds_recovered,model
ROCK2,1992,617,268,7727,7727,0,0.0,0,0.0,0,31,0.015562248995983935,1,MolCRAFT
CDK9,1968,638,387,7971,7971,0,0.0,2,0.0010162601626016261,2,417,0.21189024390243902,28,MolCRAFT
JAK1,1963,669,338,7837,7837,0,0.0,0,0.0,0,193,0.09831889964340296,8,MolCRAFT
ACVR1,1743,640,300,7975,7975,0,0.0,11,0.006310958118187034,2,321,0.18416523235800344,15,MolCRAFT
AKT1,1368,532,247,7834,7834,0,0.0,0,0.0,0,7,0.005116959064327485,2,MolCRAFT
EZH2,2041,716,283,7377,7377,0,0.0,0,0.0,0,42,0.020578147966683,1,MolCRAFT
PRMT5,1955,720,279,7656,7656,0,0.0,0,0.0,0,94,0.04808184143222506,11,MolCRAFT
MMP8,1547,577,280,7530,7481,0,0.0,111,0.07175177763413057,25,166,0.10730446024563671,22,MolCRAFT
WRN,1465,634,230,7724,7724,0,0.0,0,0.0,0,0,0.0,0,MolCRAFT
GCGR,1250,257,116,7636,7626,0,0.0,0,0.0,0,349,0.2792,5,MolCRAFT
5HT2A,1248,373,161,7768,7768,0,0.0,5,0.004006410256410256,2,560,0.44871794871794873,23,MolCRAFT
DRD2,1329,563,311,7854,7854,0,0.0,39,0.029345372460496615,1,260,0.19563581640331076,23,MolCRAFT
AGTR1,1172,442,283,7368,7368,0,0.0,0,0.0,0,5,0.004266211604095563,1,MolCRAFT
LXRB,1986,553,328,7537,7537,0,0.0,38,0.019133937562940583,7,249,0.12537764350453173,30,MolCRAFT
FXR,1376,424,226,7021,7021,0,0.0,0,0.0,0,20,0.014534883720930232,2,MolCRAFT
AR,1218,349,170,6953,6953,0,0.0,61,0.05008210180623974,9,163,0.13382594417077176,19,MolCRAFT
BCL2,1801,823,483,7256,7256,0,0.0,9,0.004997223764575236,5,28,0.015546918378678512,11,MolCRAFT
BRD4,1658,512,282,7791,7788,0,0.0,43,0.025934861278648975,1,162,0.097708082026538,10,MolCRAFT
Keap1,1568,470,227,7904,7904,0,0.0,0,0.0,0,1,0.0006377551020408163,1,MolCRAFT
EED,1440,414,146,7815,7815,0,0.0,0,0.0,0,84,0.058333333333333334,4,MolCRAFT
