target,num_true_molecules,num_true_scaffolds_bm,num_true_scaffolds_generic,num_generated_molecules,num_unique_generated,exact_recovery_count,exact_recovery_ratio,bm_scaffold_recovery_count,bm_scaffold_recovery_ratio,bm_unique_scaffolds_recovered,generic_scaffold_recovery_count,generic_scaffold_recovery_ratio,generic_unique_scaffolds_recovered,model
ROCK2,1992,617,268,8000,8000,0,0.0,0,0.0,0,83,0.041666666666666664,1,Pocket2Mol
CDK9,1968,638,387,8000,7998,0,0.0,1,0.0005081300813008131,1,284,0.1443089430894309,12,Pocket2Mol
JAK1,1963,669,338,8000,8000,0,0.0,0,0.0,0,2,0.0010188487009679063,1,Pocket2Mol
ACVR1,1743,640,300,8000,8000,0,0.0,0,0.0,0,2,0.0011474469305794606,1,Pocket2Mol
AKT1,1368,532,247,8000,8000,0,0.0,0,0.0,0,0,0.0,0,Pocket2Mol
EZH2,2041,716,283,8000,8000,0,0.0,0,0.0,0,0,0.0,0,Pocket2Mol
PRMT5,1955,720,279,8000,8000,0,0.0,0,0.0,0,0,0.0,0,Pocket2Mol
MMP8,1547,577,280,8000,7992,0,0.0,102,0.06593406593406594,17,240,0.15513897866839044,25,Pocket2Mol
WRN,1465,634,230,8000,8000,0,0.0,0,0.0,0,0,0.0,0,Pocket2Mol
GCGR,1250,257,116,8000,8000,0,0.0,0,0.0,0,214,0.1712,4,Pocket2Mol
5HT2A,1248,373,161,8000,7999,0,0.0,1,0.0008012820512820513,1,203,0.16266025641025642,11,Pocket2Mol
DRD2,1329,563,311,8000,8000,0,0.0,0,0.0,0,70,0.0526711813393529,7,Pocket2Mol
AGTR1,1172,442,283,8000,8000,0,0.0,0,0.0,0,0,0.0,0,Pocket2Mol
LXRB,1986,553,328,8000,8000,0,0.0,29,0.01460221550855992,6,94,0.0473313192346425,16,Pocket2Mol
FXR,1376,424,226,8000,8000,0,0.0,0,0.0,0,0,0.0,0,Pocket2Mol
AR,1218,349,170,8000,7994,0,0.0,66,0.054187192118226604,8,277,0.22742200328407225,22,Pocket2Mol
BCL2,1801,823,483,8000,7999,0,0.0,8,0.004441976679622432,4,33,0.018323153803442533,9,Pocket2Mol
BRD4,1658,512,282,8000,8000,0,0.0,43,0.025934861278648975,1,125,0.07539203860072376,6,Pocket2Mol
Keap1,1568,470,227,8000,8000,0,0.0,0,0.0,0,2,0.0012755102040816326,2,Pocket2Mol
EED,1440,414,146,8000,8000,0,0.0,0,0.0,0,1,0.0006944444444444445,1,Pocket2Mol
