target,num_true_molecules,num_true_scaffolds_bm,num_true_scaffolds_generic,num_generated_molecules,num_unique_generated,exact_recovery_count,exact_recovery_ratio,bm_scaffold_recovery_count,bm_scaffold_recovery_ratio,bm_unique_scaffolds_recovered,generic_scaffold_recovery_count,generic_scaffold_recovery_ratio,generic_unique_scaffolds_recovered,model
ROCK2,1992,617,268,7986,7986,0,0.0,0,0.0,0,83,0.041666666666666664,1,PocketFlow
CDK9,1968,638,387,7809,7809,0,0.0,1,0.0005081300813008131,1,186,0.09451219512195122,23,PocketFlow
JAK1,1963,669,338,7947,7947,0,0.0,0,0.0,0,126,0.06418746816097809,4,PocketFlow
ACVR1,1743,640,300,7974,7974,0,0.0,2,0.0011474469305794606,1,22,0.012621916236374068,7,PocketFlow
AKT1,1368,532,247,7966,7966,0,0.0,0,0.0,0,0,0.0,0,PocketFlow
EZH2,2041,716,283,7931,7931,0,0.0,0,0.0,0,0,0.0,0,PocketFlow
PRMT5,1955,720,279,7981,7981,0,0.0,0,0.0,0,70,0.03580562659846547,4,PocketFlow
MMP8,1547,577,280,7981,7981,0,0.0,114,0.07369101486748546,25,153,0.0989010989010989,17,PocketFlow
WRN,1465,634,230,7990,7990,0,0.0,0,0.0,0,0,0.0,0,PocketFlow
GCGR,1250,257,116,7884,7884,0,0.0,101,0.0808,6,234,0.1872,9,PocketFlow
5HT2A,1248,373,161,7981,7981,0,0.0,37,0.029647435897435896,4,233,0.18669871794871795,16,PocketFlow
DRD2,1329,563,311,7928,7928,0,0.0,0,0.0,0,189,0.14221218961625282,19,PocketFlow
AGTR1,1172,442,283,7985,7985,0,0.0,0,0.0,0,0,0.0,0,PocketFlow
LXRB,1986,553,328,7986,7986,0,0.0,28,0.014098690835850957,6,178,0.08962739174219536,26,PocketFlow
FXR,1376,424,226,7971,7971,0,0.0,0,0.0,0,0,0.0,0,PocketFlow
AR,1218,349,170,7986,7986,0,0.0,57,0.046798029556650245,7,247,0.20279146141215107,21,PocketFlow
BCL2,1801,823,483,7905,7905,0,0.0,24,0.013325930038867296,14,34,0.018878400888395337,15,PocketFlow
BRD4,1658,512,282,7680,7680,0,0.0,50,0.030156815440289506,6,223,0.1344993968636912,19,PocketFlow
Keap1,1568,470,227,7957,7957,0,0.0,0,0.0,0,2,0.0012755102040816326,2,PocketFlow
EED,1440,414,146,7990,7990,0,0.0,0,0.0,0,2,0.001388888888888889,2,PocketFlow
