target,num_true_molecules,num_true_scaffolds_bm,num_true_scaffolds_generic,num_generated_molecules,num_unique_generated,exact_recovery_count,exact_recovery_ratio,bm_scaffold_recovery_count,bm_scaffold_recovery_ratio,bm_unique_scaffolds_recovered,generic_scaffold_recovery_count,generic_scaffold_recovery_ratio,generic_unique_scaffolds_recovered,model
ROCK2,1992,617,268,8000,8000,0,0.0,0,0.0,0,134,0.06726907630522089,5,PocketXMol
CDK9,1968,638,387,8000,8000,0,0.0,5,0.002540650406504065,3,462,0.2347560975609756,41,PocketXMol
JAK1,1963,669,338,8000,7061,0,0.0,0,0.0,0,103,0.05247070809984717,7,PocketXMol
ACVR1,1743,640,300,8000,8000,0,0.0,3,0.0017211703958691911,2,331,0.18990246701090074,17,PocketXMol
AKT1,1368,532,247,8000,8000,0,0.0,0,0.0,0,40,0.029239766081871343,2,PocketXMol
EZH2,2041,716,283,8000,8000,0,0.0,0,0.0,0,0,0.0,0,PocketXMol
PRMT5,1955,720,279,8000,8000,0,0.0,0,0.0,0,173,0.08849104859335039,14,PocketXMol
MMP8,1547,577,280,8000,8000,2,0.001292824822236587,133,0.08597285067873303,38,477,0.308338720103426,43,PocketXMol
WRN,1465,634,230,8000,8000,0,0.0,0,0.0,0,0,0.0,0,PocketXMol
GCGR,1250,257,116,8000,8000,0,0.0,17,0.0136,2,533,0.4264,20,PocketXMol
5HT2A,1248,373,161,8000,8000,0,0.0,134,0.10737179487179487,9,548,0.4391025641025641,27,PocketXMol
DRD2,1329,563,311,8000,8000,0,0.0,5,0.003762227238525207,3,279,0.20993227990970656,29,PocketXMol
AGTR1,1172,442,283,8000,8000,0,0.0,0,0.0,0,0,0.0,0,PocketXMol
LXRB,1986,553,328,8000,8000,0,0.0,34,0.017119838872104734,10,417,0.20996978851963746,41,PocketXMol
FXR,1376,424,226,8000,8000,0,0.0,0,0.0,0,10,0.007267441860465116,1,PocketXMol
AR,1218,349,170,8000,8000,0,0.0,53,0.04351395730706076,6,131,0.10755336617405582,17,PocketXMol
BCL2,1801,823,483,8000,8000,0,0.0,13,0.007218212104386452,6,42,0.023320377568017768,15,PocketXMol
BRD4,1658,512,282,8000,8000,0,0.0,47,0.028347406513872134,3,228,0.13751507840772015,17,PocketXMol
Keap1,1568,470,227,8000,8000,0,0.0,10,0.006377551020408163,1,11,0.00701530612244898,2,PocketXMol
EED,1440,414,146,8000,8000,0,0.0,0,0.0,0,47,0.03263888888888889,10,PocketXMol
