target,num_true_molecules,num_true_scaffolds_bm,num_true_scaffolds_generic,num_generated_molecules,num_unique_generated,exact_recovery_count,exact_recovery_ratio,bm_scaffold_recovery_count,bm_scaffold_recovery_ratio,bm_unique_scaffolds_recovered,generic_scaffold_recovery_count,generic_scaffold_recovery_ratio,generic_unique_scaffolds_recovered,model
ROCK2,1992,617,268,8000,7999,0,0.0,0,0.0,0,0,0.0,0,ResGen
CDK9,1968,638,387,7989,7989,0,0.0,0,0.0,0,53,0.02693089430894309,3,ResGen
JAK1,1963,669,338,8000,7999,0,0.0,0,0.0,0,16,0.00815078960774325,2,ResGen
ACVR1,1743,640,300,8000,8000,0,0.0,0,0.0,0,4,0.002294893861158921,1,ResGen
AKT1,1368,532,247,3958,3954,0,0.0,0,0.0,0,0,0.0,0,ResGen
EZH2,2041,716,283,6543,6543,0,0.0,0,0.0,0,0,0.0,0,ResGen
PRMT5,1955,720,279,4451,4451,0,0.0,0,0.0,0,22,0.011253196930946292,1,ResGen
MMP8,1547,577,280,8000,7998,0,0.0,100,0.06464124111182935,17,145,0.09372979961215255,13,ResGen
WRN,1465,634,230,2696,2692,0,0.0,0,0.0,0,0,0.0,0,ResGen
GCGR,1250,257,116,7920,7920,0,0.0,0,0.0,0,29,0.0232,4,ResGen
5HT2A,1248,373,161,2893,2893,0,0.0,1,0.0008012820512820513,1,44,0.035256410256410256,3,ResGen
DRD2,1329,563,311,7455,7455,0,0.0,0,0.0,0,62,0.046651617757712566,6,ResGen
AGTR1,1172,442,283,1077,1077,0,0.0,0,0.0,0,0,0.0,0,ResGen
LXRB,1986,553,328,2840,2835,0,0.0,13,0.006545820745216516,3,149,0.07502517623363544,13,ResGen
FXR,1376,424,226,2846,2844,0,0.0,0,0.0,0,10,0.007267441860465116,1,ResGen
AR,1218,349,170,8000,7997,0,0.0,48,0.03940886699507389,2,65,0.053366174055829226,7,ResGen
BCL2,1801,823,483,5683,5682,0,0.0,7,0.003886729594669628,3,32,0.01776790671848973,8,ResGen
BRD4,1658,512,282,7999,7999,0,0.0,0,0.0,0,65,0.039203860072376355,3,ResGen
Keap1,1568,470,227,8000,8000,0,0.0,0,0.0,0,0,0.0,0,ResGen
EED,1440,414,146,7913,7913,0,0.0,0,0.0,0,1,0.0006944444444444445,1,ResGen
