target,num_true_molecules,num_true_scaffolds_bm,num_true_scaffolds_generic,num_generated_molecules,num_unique_generated,exact_recovery_count,exact_recovery_ratio,bm_scaffold_recovery_count,bm_scaffold_recovery_ratio,bm_unique_scaffolds_recovered,generic_scaffold_recovery_count,generic_scaffold_recovery_ratio,generic_unique_scaffolds_recovered,model
ROCK2,1992,617,268,8000,7269,0,0.0,0,0.0,0,0,0.0,0,TamGen
CDK9,1968,638,387,8000,7353,0,0.0,1,0.0005081300813008131,1,67,0.03404471544715447,8,TamGen
JAK1,1963,669,338,8000,7277,0,0.0,0,0.0,0,71,0.03616912888436067,3,TamGen
ACVR1,1743,640,300,8000,7237,0,0.0,0,0.0,0,2,0.0011474469305794606,1,TamGen
AKT1,1368,532,247,8000,7344,0,0.0,0,0.0,0,0,0.0,0,TamGen
EZH2,2041,716,283,8000,7247,0,0.0,0,0.0,0,0,0.0,0,TamGen
PRMT5,1955,720,279,8000,7247,0,0.0,0,0.0,0,30,0.015345268542199489,1,TamGen
MMP8,1547,577,280,8000,7283,0,0.0,120,0.07756948933419522,28,461,0.2979961215255333,33,TamGen
WRN,1465,634,230,8000,7266,0,0.0,0,0.0,0,0,0.0,0,TamGen
GCGR,1250,257,116,8000,7282,0,0.0,0,0.0,0,464,0.3712,9,TamGen
5HT2A,1248,373,161,8000,7292,0,0.0,41,0.032852564102564104,5,389,0.31169871794871795,15,TamGen
DRD2,1329,563,311,8000,7285,0,0.0,0,0.0,0,124,0.09330323551542513,12,TamGen
AGTR1,1172,442,283,6790,6236,0,0.0,0,0.0,0,0,0.0,0,TamGen
LXRB,1986,553,328,8000,7292,0,0.0,44,0.022155085599194362,7,109,0.05488418932527694,16,TamGen
FXR,1376,424,226,6952,6435,0,0.0,0,0.0,0,0,0.0,0,TamGen
AR,1218,349,170,7298,6656,0,0.0,71,0.05829228243021346,13,408,0.33497536945812806,27,TamGen
BCL2,1801,823,483,8000,7405,0,0.0,7,0.003886729594669628,3,39,0.021654636313159357,12,TamGen
BRD4,1658,512,282,8000,7281,1,0.0006031363088057901,10,0.006031363088057901,2,138,0.08323281061519903,8,TamGen
Keap1,1568,470,227,8000,7258,0,0.0,0,0.0,0,5,0.0031887755102040817,2,TamGen
EED,1440,414,146,8000,7304,0,0.0,0,0.0,0,0,0.0,0,TamGen
